Fechas;Serie;Indice;Variable
2023-11-01;sarima;464.23644850843596;Transporte
2023-12-01;sarima;464.3799447433188;Transporte
2024-01-01;sarima;464.95150090359886;Transporte
2024-02-01;sarima;466.488035080895;Transporte
2024-03-01;sarima;467.9414549694488;Transporte
2024-04-01;sarima;471.24356906574496;Transporte
2024-05-01;sarima;472.71240621357714;Transporte
2024-06-01;sarima;473.94142001363537;Transporte
2024-07-01;sarima;474.90466812743216;Transporte
2024-08-01;sarima;476.1735894661263;Transporte
2024-09-01;sarima;477.1493944114314;Transporte
2024-10-01;sarima;477.6233303661004;Transporte
2023-11-01;auto_arima;464.4064921771584;Transporte
2023-12-01;auto_arima;464.4442941231448;Transporte
2024-01-01;auto_arima;464.4577128282412;Transporte
2024-02-01;auto_arima;464.4624761186424;Transporte
2024-03-01;auto_arima;464.46416696252663;Transporte
2024-04-01;auto_arima;464.4647671680149;Transporte
2024-05-01;auto_arima;464.46498022531216;Transporte
2024-06-01;auto_arima;464.465055855097;Transporte
2024-07-01;auto_arima;464.46508270169846;Transporte
2024-08-01;auto_arima;464.4650922315419;Transporte
2024-09-01;auto_arima;464.46509561438785;Transporte
2024-10-01;auto_arima;464.46509681520996;Transporte
2023-11-01;uc;464.5380678765981;Transporte
2023-12-01;uc;464.832222813716;Transporte
2024-01-01;uc;465.5529536938331;Transporte
2024-02-01;uc;467.24662637095105;Transporte
2024-03-01;uc;468.8533817673853;Transporte
2024-04-01;uc;472.3043886744682;Transporte
2024-05-01;uc;473.92519137392185;Transporte
2024-06-01;uc;475.30374415845165;Transporte
2024-07-01;uc;476.4166468839326;Transporte
2024-08-01;uc;477.8358015498966;Transporte
2024-09-01;uc;478.96009079511816;Transporte
2024-10-01;uc;479.580370669732;Transporte
2023-11-01;ets;464.3855190477776;Transporte
2023-12-01;ets;464.52690999677407;Transporte
2024-01-01;ets;465.09542318830216;Transporte
2024-02-01;ets;466.64238513733176;Transporte
2024-03-01;ets;468.09856001200035;Transporte
2024-04-01;ets;471.39751866788964;Transporte
