Fechas;Serie;Indice;Variable
2023-11-01;sarima;387.7775570435536;Alimentos y Bebidas no Alcohólicas
2023-12-01;sarima;389.4218116103393;Alimentos y Bebidas no Alcohólicas
2024-01-01;sarima;390.13727353435394;Alimentos y Bebidas no Alcohólicas
2024-02-01;sarima;391.8171273923878;Alimentos y Bebidas no Alcohólicas
2024-03-01;sarima;393.11984898976385;Alimentos y Bebidas no Alcohólicas
2024-04-01;sarima;394.6446472198739;Alimentos y Bebidas no Alcohólicas
2024-05-01;sarima;395.34716029617715;Alimentos y Bebidas no Alcohólicas
2024-06-01;sarima;397.2023986509491;Alimentos y Bebidas no Alcohólicas
2024-07-01;sarima;399.644217275061;Alimentos y Bebidas no Alcohólicas
2024-08-01;sarima;399.8595728215701;Alimentos y Bebidas no Alcohólicas
2024-09-01;sarima;399.5814468096475;Alimentos y Bebidas no Alcohólicas
2024-10-01;sarima;400.67692468936593;Alimentos y Bebidas no Alcohólicas
2023-11-01;auto_arima;388.51947405497026;Alimentos y Bebidas no Alcohólicas
2023-12-01;auto_arima;391.9494231675394;Alimentos y Bebidas no Alcohólicas
2024-01-01;auto_arima;394.2210732279287;Alimentos y Bebidas no Alcohólicas
2024-02-01;auto_arima;397.1133135876397;Alimentos y Bebidas no Alcohólicas
2024-03-01;auto_arima;400.35992444095666;Alimentos y Bebidas no Alcohólicas
2024-04-01;auto_arima;404.0212609622598;Alimentos y Bebidas no Alcohólicas
2024-05-01;auto_arima;406.9089645916872;Alimentos y Bebidas no Alcohólicas
2024-06-01;auto_arima;410.51252069828126;Alimentos y Bebidas no Alcohólicas
2024-07-01;auto_arima;414.56672807872496;Alimentos y Bebidas no Alcohólicas
2024-08-01;auto_arima;416.7309772583514;Alimentos y Bebidas no Alcohólicas
2024-09-01;auto_arima;418.23300573892357;Alimentos y Bebidas no Alcohólicas
2024-10-01;auto_arima;421.04146428173607;Alimentos y Bebidas no Alcohólicas
2023-11-01;uc;388.1339991090181;Alimentos y Bebidas no Alcohólicas
2023-12-01;uc;390.4827671345522;Alimentos y Bebidas no Alcohólicas
2024-01-01;uc;392.2630315150208;Alimentos y Bebidas no Alcohólicas
2024-02-01;uc;394.9331068810626;Alimentos y Bebidas no Alcohólicas
2024-03-01;uc;397.1170425164328;Alimentos y Bebidas no Alcohólicas
2024-04-01;uc;399.67154103009705;Alimentos y Bebidas no Alcohólicas
2024-05-01;uc;401.5475955481407;Alimentos y Bebidas no Alcohólicas
2024-06-01;uc;404.37416783914745;Alimentos y Bebidas no Alcohólicas
2024-07-01;uc;407.81653820732834;Alimentos y Bebidas no Alcohólicas
2024-08-01;uc;409.380124436996;Alimentos y Bebidas no Alcohólicas
2024-09-01;uc;410.4090424358782;Alimentos y Bebidas no Alcohólicas
2024-10-01;uc;412.4087519647101;Alimentos y Bebidas no Alcohólicas
2023-11-01;ets;388.044364333876;Alimentos y Bebidas no Alcohólicas
2023-12-01;ets;390.24645418812634;Alimentos y Bebidas no Alcohólicas
2024-01-01;ets;392.2821511300612;Alimentos y Bebidas no Alcohólicas
2024-02-01;ets;394.80070354726007;Alimentos y Bebidas no Alcohólicas
2024-03-01;ets;396.990733845567;Alimentos y Bebidas no Alcohólicas
2024-04-01;ets;399.40745754589403;Alimentos y Bebidas no Alcohólicas
2024-05-01;ets;401.51241017646754;Alimentos y Bebidas no Alcohólicas
2024-06-01;ets;404.21877633328927;Alimentos y Bebidas no Alcohólicas
2024-07-01;ets;407.47527115208925;Alimentos y Bebidas no Alcohólicas
2024-08-01;ets;409.2215396747553;Alimentos y Bebidas no Alcohólicas
2024-09-01;ets;410.2147936182093;Alimentos y Bebidas no Alcohólicas
2024-10-01;ets;412.2320648031968;Alimentos y Bebidas no Alcohólicas
2023-11-01;auto_ets;387.73336948599075;Alimentos y Bebidas no Alcohólicas
2023-12-01;auto_ets;389.53031080417463;Alimentos y Bebidas no Alcohólicas
2024-01-01;auto_ets;391.06802284018966;Alimentos y Bebidas no Alcohólicas
2024-02-01;auto_ets;393.0025092295593;Alimentos y Bebidas no Alcohólicas
2024-03-01;auto_ets;394.5277178489911;Alimentos y Bebidas no Alcohólicas
2024-04-01;auto_ets;396.2041158360916;Alimentos y Bebidas no Alcohólicas
2024-05-01;auto_ets;397.49363583166274;Alimentos y Bebidas no Alcohólicas
2024-06-01;auto_ets;399.3155714033421;Alimentos y Bebidas no Alcohólicas
2024-07-01;auto_ets;401.6257426794609;Alimentos y Bebidas no Alcohólicas
2024-08-01;auto_ets;402.363104109095;Alimentos y Bebidas no Alcohólicas
2024-09-01;auto_ets;402.2882201915131;Alimentos y Bebidas no Alcohólicas
