Fechas;Central_Metropolitana;Resto_Central;Norte_Metropolitana;Resto_Norte;Sur;Oriental;Occidental;IPC
1991-01-01;26.4462;26.4462;21.9138;21.9138;23.2527;24.7575;21.8697;24.09
1991-02-01;27.3404;27.3404;22.5873;22.5873;23.8678;25.9431;22.3899;24.88
1991-03-01;27.565;27.565;23.0163;23.0163;24.3163;26.2869;22.6128;25.21
1991-04-01;28.2526;28.2526;23.8508;23.8508;25.415;27.5534;24.3143;26.04
1991-05-01;28.5116;28.5116;24.1748;24.1748;26.0358;27.751;24.8537;26.34
1991-06-01;28.884;28.884;24.726;24.726;26.794;28.1344;25.0444;26.81
1991-07-01;29.398;29.398;25.071;25.071;27.2811;28.4298;25.4088;27.23
1991-08-01;29.7008;29.7008;25.4637;25.4637;27.5286;28.7552;25.6351;27.57
1991-09-01;29.6812;29.6812;25.2575;25.2575;27.6001;28.6303;25.51;27.46
1991-10-01;29.8995;29.8995;25.579;25.579;27.5458;29.2143;25.6023;27.73
1991-11-01;30.0348;30.0348;25.9176;25.9176;27.7081;29.4002;25.7062;27.96
1991-12-01;30.1404;30.1404;25.9583;25.9583;27.8154;29.3517;25.6631;28.03
1992-01-01;30.2734;30.2734;25.9055;25.9055;27.8304;29.4251;25.6672;28.07
1992-02-01;30.6435;30.6435;26.1913;26.1913;27.9427;29.7197;25.97;28.38
1992-03-01;30.6552;30.6552;26.3116;26.3116;27.9957;29.6249;26.2298;28.45
1992-04-01;30.9455;30.9455;26.5338;26.5338;28.6523;29.7425;27.7372;28.74
1992-05-01;31.145;31.145;26.535;26.535;29.07;29.9372;27.7146;28.85
1992-06-01;31.2537;31.2537;26.4981;26.4981;28.9134;29.8652;27.7461;28.87
1992-07-01;31.3969;31.3969;26.6445;26.6445;28.6501;29.5596;28.1686;28.98
1992-08-01;31.4814;31.4814;26.8005;26.8005;28.7446;29.5618;28.0831;29.09
1992-09-01;31.4336;31.4336;26.8584;26.8584;28.7503;29.7212;27.9949;29.1
1992-10-01;31.594;31.594;26.9882;26.9882;28.8654;30.0775;28.2027;29.25
1992-11-01;31.939;31.939;27.2823;27.2823;29.2917;30.4036;28.4044;29.58
1992-12-01;32.1002;32.1002;27.6827;27.6827;29.3883;30.757;28.7408;29.86
1993-01-01;32.3286;32.3286;27.754;27.754;29.8432;30.9627;28.6198;30.02
1993-02-01;32.6087;32.6087;27.9914;27.9914;29.987;31.8155;28.7257;30.3
1993-03-01;32.8043;32.8043;28.2008;28.2008;30.1579;32.188;29.0791;30.51
1993-04-01;33.3379;33.3379;28.7151;28.7151;32.1571;32.9622;29.5618;31.12
1993-05-01;33.6179;33.6179;29.036;29.036;32.1142;32.9637;29.7443;31.39
1993-06-01;34.0498;34.0498;29.4764;29.4764;33.0212;33.3766;30.7109;31.85
1993-07-01;34.6882;34.6882;30.71;30.71;33.9489;34.4476;31.9893;32.81
1993-08-01;35.3907;35.3907;30.8895;30.8895;33.765;34.2816;32.0467;33.17
1993-09-01;35.1615;35.1615;30.775;30.775;33.2694;34.0142;31.7965;32.98
1993-10-01;35.2929;35.2929;31.0773;31.0773;33.3373;34.5357;32.0201;33.21
1993-11-01;35.6426;35.6426;31.3949;31.3949;33.9295;34.5211;32.1431;33.53
1993-12-01;35.8992;35.8992;31.6425;31.6425;33.921;34.3947;32.1137;33.74
1994-01-01;36.4907;36.4907;32.0442;32.0442;34.0232;34.9141;32.1712;34.21
1994-02-01;37.4491;37.4491;33.1333;33.1333;34.8401;36.1416;33.429;35.24
1994-03-01;37.7377;37.7377;33.5018;33.5018;35.3672;36.8262;33.6573;35.6
1994-04-01;38.5443;38.5443;34.5477;34.5477;37.1275;38.0684;34.691;36.59
1994-05-01;39.9549;39.9549;36.0021;36.0021;38.4315;39.6618;36.2613;38.03
1994-06-01;40.7513;40.7513;36.8137;36.8137;39.3456;39.9167;37.0495;38.8
1994-07-01;41.6573;41.6573;38.0581;38.0581;40.1595;40.8254;37.9047;39.86
1994-08-01;42.7447;42.7447;38.6087;38.6087;41.3533;41.9053;38.859;40.71
1994-09-01;42.9481;42.9481;38.9327;38.9327;41.7904;41.9662;39.2548;40.97
1994-10-01;43.5396;43.5396;39.7335;39.7335;41.912;43.2459;40.0171;41.68
1994-11-01;44.7279;44.7279;41.0447;41.0447;43.4684;45.0222;41.4868;42.97
1994-12-01;45.202;45.202;41.6291;41.6291;43.414;45.759;42.4528;43.5
1995-01-01;46.4491;46.4491;42.806;42.806;44.9168;47.2318;44.0258;44.74
1995-02-01;49.3805;49.3805;44.4031;44.4031;46.2379;49.8419;45.4265;46.96
1995-03-01;50.0471;50.0471;45.0116;45.0116;47.1856;50.7726;45.8825;47.62
1995-04-01;50.5133;50.5133;46.9517;46.9517;47.5826;52.518;47.4118;48.84
1995-05-01;51.8918;51.8918;47.4915;47.4915;48.4195;52.4864;48.349;49.73
1995-06-01;52.3988;52.3988;48.0052;48.0052;48.77;52.4453;48.1747;50.19
1995-07-01;53.2938;53.2938;48.5762;48.5762;48.981;52.4908;49.3827;50.86
1995-08-01;53.9807;53.9807;49.3438;49.3438;49.2513;52.9683;49.088;51.54
1995-09-01;55.2731;55.2731;50.3362;50.3362;50.0389;53.3915;48.9315;52.59
1995-10-01;56.0539;56.0539;51.389;51.389;50.835;55.2037;50.6193;53.57
1995-11-01;56.6813;56.6813;52.1751;52.1751;51.1826;56.8382;51.333;54.32
1995-12-01;57.5552;57.5552;53.0159;53.0159;52.3764;57.1614;51.8621;55.15
1996-01-01;57.6397;57.6397;53.4736;53.4736;52.5316;57.5728;52.1711;55.43
1996-02-01;59.0706;59.0706;55.0312;55.0312;54.4843;60.0433;53.6635;57
1996-03-01;59.4954;59.4954;56.3851;56.3851;55.2639;60.6647;54.8899;57.89
1996-04-01;60.4843;60.4843;57.6289;57.6289;56.477;62.0943;58.7886;59.08
1996-05-01;61.6054;61.6054;58.7632;58.7632;59.2973;63.8896;59.0989;60.31
1996-06-01;63.1931;63.1931;60.1852;60.1852;60.9327;65.4849;61.2018;61.83
1996-07-01;64.3428;64.3428;61.6159;61.6159;62.8869;68.0037;63.8428;63.25
1996-08-01;66.8431;66.8431;62.8267;62.8267;63.7161;68.9697;66.246;65.01
1996-09-01;67.5652;67.5652;64.5619;64.5619;64.1618;68.8475;66.4629;66.12
1996-10-01;68.1729;68.1729;65.8634;65.8634;65.7425;70.1364;65.6305;67.09
1996-11-01;69.7471;69.7471;67.1022;67.1022;66.1371;71.235;66.8571;68.43
1996-12-01;70.5057;70.5057;67.939;67.939;66.014;71.0539;67.1384;69.12
1997-01-01;71.85912951788119;71.85912951788119;69.52867623750655;69.52867623750655;66.05313989447555;72.96328738367257;69.01575281680195;70.56
1997-02-01;73.84454186652498;73.84454186652498;70.91574147274831;70.91574147274831;68.30425205704029;75.11497944444918;71.24948575052122;72.3
