Fechas;Alimentos y Bebidas no Alcohólicas;Bebidas Alcohólicas y Tabaco;Prendas de Vestir y Calzado;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles;Muebles y Artículos para la Conservación del Hogar;Salud;Transporte;Comunicaciones;Recreación y Cultura;Educación;Restaurantes y Hoteles;Cuidado Personal;IPC
1991-01-01;23.819;23.1494;26.1359;24.6226;39.6517;18.5264;20.8911;68.3768;17.0795;18.3852;16.6882;27.3481;24.09
1991-02-01;24.9873;24.7892;27.1091;24.9263;40.1655;20.1191;22.1647;34.3272;17.8361;22.0469;18.3705;27.8562;24.88
1991-03-01;25.4516;27.0216;27.9717;25.1111;40.5756;20.2238;20.3052;35.1771;17.8381;22.0469;18.3705;28.1022;25.21
1991-04-01;25.8855;26.9651;28.8143;26.2464;42.2321;20.5214;20.3948;70.5535;18.1655;22.0469;18.3705;28.491;26.04
1991-05-01;26.6024;27.3337;29.3386;26.3905;42.4602;20.9724;20.5384;36.7587;19.2331;22.0469;19.4501;28.4658;26.34
1991-06-01;27.5316;27.3952;29.1657;26.652;42.5528;20.9837;20.5384;36.7587;19.9123;22.0469;19.4501;28.6296;26.81
1991-07-01;28.5021;27.3925;29.119;26.6572;41.7629;21.3958;20.5384;36.8311;19.9135;22.0469;19.4501;28.8572;27.23
1991-08-01;29.0512;28.2583;29.3557;26.6797;41.4804;21.938;20.5967;37.1764;20.6365;22.0469;21.8959;29.0192;27.57
1991-09-01;28.6795;28.308;29.5172;26.755;41.3687;22.126;20.5967;37.285;20.6365;22.0469;21.8959;29.2309;27.46
1991-10-01;28.6541;29.9296;29.7471;27.4709;43.0634;22.1784;20.5967;37.5965;20.6365;22.0469;21.8959;29.7448;27.73
1991-11-01;28.6975;30.0631;30.1413;27.6328;43.8023;22.5451;20.874;38.0239;22.3797;22.0469;22.858;30.0202;27.96
1991-12-01;28.6728;30.0585;30.4151;27.7763;44.431;22.4106;20.874;16.5;22.3946;22.0469;22.858;29.9144;28.03
1992-01-01;28.6797;30.0835;30.7717;27.7927;43.3156;22.5602;20.6614;15.77988957684921;22.5319;22.0469;22.858;30.1966;28.07
1992-02-01;29.1132;30.2699;31.0831;27.8656;44.4422;22.7595;21.0717;15.919291354877155;22.6333;23.6618;23.7031;30.5442;28.38
1992-03-01;28.4759;30.2972;31.5538;27.8819;44.814;22.8151;21.0717;15.958181163499104;22.6332;23.6618;23.7171;30.7013;28.45
1992-04-01;28.6106;30.2212;31.8379;28.4147;44.9145;22.8389;21.0717;15.97482823985166;24.3254;23.6618;23.7171;30.5056;28.74
1992-05-01;29.3999;32.4091;31.7238;28.4812;44.6672;23.1435;21.1436;16.18788283888484;24.0486;23.6618;24.687;30.4619;28.85
1992-06-01;28.7064;32.4896;31.9109;28.5184;44.7996;23.2299;21.9848;16.24831592278657;23.9107;23.6618;24.687;30.472;28.87
1992-07-01;28.9038;32.4406;32.041;28.5191;45.1587;23.3336;21.9848;16.320849612608438;23.9107;23.6618;24.687;30.4258;28.98
1992-08-01;29.0385;32.3979;32.1591;28.6166;45.272;23.3547;22.0936;16.33560815508907;23.9241;23.6618;24.687;30.5745;29.09
1992-09-01;28.8687;32.3939;32.2629;28.7893;45.1986;23.7905;22.0936;16.640431511158205;23.9241;23.6618;24.687;30.729;29.1
1992-10-01;28.9388;32.4439;32.5202;29.1994;44.8443;23.8899;22.0936;16.709957535924776;23.9996;23.6618;24.687;30.5199;29.25
1992-11-01;29.3889;33.3855;32.6474;29.4533;45.2576;24.1459;22.181;16.88901852526323;24.2879;23.6618;25.7702;30.7483;29.58
1992-12-01;29.9644;33.3888;33.0194;29.4338;45.3582;24.1616;21.7508;16.9;24.2879;23.6618;25.7702;30.9347;29.86
1993-01-01;30.0012;33.4451;33.2522;29.743;45.2736;24.8593;21.7508;18.1343;24.3695;23.6618;25.7702;31.0212;30.02
1993-02-01;30.0548;33.547;33.6829;30.25;45.6885;25.0192;21.817;18.3165;24.4406;26.7714;26.5514;30.4393;30.3
1993-03-01;30.3202;34.1022;33.8192;30.4504;46.0459;24.9528;22.0907;18.3479;24.7135;26.7714;26.5514;30.6509;30.51
1993-04-01;31.0266;34.0821;33.8495;31.06;46.1114;24.9134;22.469;18.4832;27.0131;26.7714;26.5514;30.8952;31.12
